aX,aY,aZ,gX,gY,gZ
-0.749,-0.976,1.858,7.070,-260.680,32.480

-0.783,-0.874,1.528,0.560,-272.300,31.150
-0.678,-0.665,1.290,-3.570,-258.860,45.150
-0.620,-0.587,1.258,19.810,-217.210,67.130
-0.638,-0.671,1.715,48.230,-247.450,81.340
-0.736,-0.831,1.648,71.960,-275.730,89.040
-0.849,-1.397,1.675,66.220,-317.800,50.960
-0.872,-1.522,0.802,45.640,-332.640,7.420
-0.745,-1.137,0.209,30.380,-293.930,-4.620
-0.590,-0.827,0.114,4.130,-252.000,-6.230
-0.544,-0.724,0.282,3.710,-229.460,-8.540
-0.444,-0.642,0.440,-6.580,-225.190,-9.660
-0.343,-0.429,0.388,-14.700,-217.140,-1.260
-0.315,-0.407,0.516,-25.760,-219.940,1.330
-0.357,-0.354,0.489,-29.750,-227.150,4.130
-0.386,-0.310,0.341,-35.840,-227.220,14.910
-0.345,-0.417,0.239,-35.140,-223.440,18.410
-0.345,-0.663,0.186,-42.210,-227.360,1.400
-0.363,-0.877,0.041,-43.260,-222.530,-44.520
-0.338,-1.056,-0.086,-47.740,-213.710,-89.670
-0.234,-0.928,-0.349,-57.470,-185.990,-123.900
-0.182,-0.430,-0.428,-62.440,-153.930,-127.120
-0.024,-0.217,-0.342,-56.840,-122.290,-117.320
0.041,-0.164,-0.093,-50.050,-112.490,-110.460
0.055,-0.197,0.029,-35.770,-112.700,-111.860
0.092,-0.267,-0.031,-34.510,-105.140,-118.510
0.146,-0.245,-0.084,-26.320,-81.060,-119.700
0.178,-0.242,0.069,-23.730,-74.760,-122.710
0.005,-0.331,0.242,-18.900,-93.660,-135.800
0.039,-0.401,-0.160,2.170,-98.630,-152.950
0.041,-0.267,-0.427,-1.680,-80.500,-165.900
0.340,-0.134,-0.646,-11.060,-29.120,-168.210
0.278,0.169,0.077,-1.470,-7.000,-145.110
0.157,0.118,0.434,11.550,-47.390,-134.680
0.047,-0.294,0.125,25.130,-71.540,-163.450
0.055,-0.283,-0.390,34.790,-64.680,-187.530
0.142,-0.020,-0.760,19.880,-16.730,-198.660
0.278,0.296,-0.691,10.780,33.950,-188.720
0.282,0.563,-0.194,-13.160,53.410,-160.510
0.262,0.496,0.133,-10.430,49.840,-149.380
0.273,0.364,0.314,-8.260,43.890,-147.630
0.171,0.294,0.450,0.630,33.740,-147.490
0.177,0.177,0.565,2.730,4.200,-162.470
0.178,0.235,0.347,-4.480,-2.240,-174.160
0.105,0.514,0.155,-2.170,3.570,-161.140
0.099,0.574,0.229,-6.930,-15.050,-155.050
0.168,0.409,-0.063,-6.160,-8.470,-161.420
0.117,0.534,-0.104,-3.570,8.960,-155.470
0.218,0.575,-0.115,0.560,14.350,-147.980
0.269,0.569,-0.133,9.870,27.720,-140.910
0.294,0.513,0.013,12.460,30.240,-139.300
